Location,Type,On church site?,Our address,Church address,Address check,Our lat,Our lng,Our GPS (paste),Church lat,Church lng,Church GPS (paste),Off by (m),GPS verdict,Church page
Pioneer Saints Cemetery,Historic Site,yes,"E Co Rd 2300, Nauvoo, IL 62354",,no official addr,40.536686,-91.350606,"40.536686, -91.350606",40.5373819,-91.3495336,"40.536362648297974, -91.35043482438023",119,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/pioneer-saints-cemetery?lang=eng
Red Brick Store,Historic Site,yes,"Water St, Nauvoo, IL 62354",865 Water St.,DIFFERS,40.541,-91.3885,"40.541, -91.3885",,,"40.54072184661536, -91.39314665451464",,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/red-brick-store?lang=eng
Scovil Bakery,Historic Site,yes,"325 Main St, Nauvoo, IL 62354",325 Main St,MATCH,40.547139,-91.391791,"40.547139, -91.391791",40.5471262,-91.3917604,"40.5471262, -91.3917604",3,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/scovil-bakery?lang=eng
Seventies Hall,Historic Site,yes,"505 Parley St, Nauvoo, IL 62354",505 Parley St,MATCH,40.547367,-91.391717,"40.547367, -91.391717",40.5433225,-91.3947248,"40.5433225, -91.3947248",517,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/seventies-hall?lang=eng
Smith Family Cemetery,Historic Site,yes,"Water St, Nauvoo, IL 62354",610 Water St,DIFFERS,40.5405,-91.3895,"40.5405, -91.3895",40.5403759,-91.3947993,"40.54039517607009, -91.3922169214236",448,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/smith-family-cemetery?lang=eng
Smith Family Homestead,Historic Site,yes,"890 Main St, Nauvoo, IL 62354",890 Main St.,MATCH,40.5401,-91.3914,"40.5401, -91.3914",40.5404281,-91.3945822,"40.5404114906334, -91.3920095085881",271,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/smith-family-homestead?lang=eng
Stoddard Tin Shop,Historic Site,yes,"535 Main St, Nauvoo, IL 62354",535 Main St,MATCH,40.547,-91.384,"40.547, -91.384",40.5450211,-91.3918104,"40.5450211, -91.3918104",696,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/stoddard-tin-shop?lang=eng
"Taylor Home, Print Shop, and Post Office",Historic Site,yes,"350 Main St, Nauvoo, IL 62354",585 Main St. ,MATCH,40.547,-91.384,"40.547, -91.384",40.5443483,-91.3917822,"40.54446626123211, -91.39178642114165",721,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/taylor-home-print-shop-and-post-office?lang=eng
Temple Arrival Center,Visitor Amenity,yes,"1165 Knight St, Nauvoo, IL 62354",1165 Knight St,MATCH,40.551,-91.383,"40.551, -91.383",40.5512591,-91.3840435,"40.5512591, -91.3840435",93,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/temple-arrival-center?lang=eng
Temple Stones Pavilion,Historic Site,yes,"965 Young St, Nauvoo, IL 62354",965 Young St,MATCH,40.551,-91.383,"40.551, -91.383",40.5531969,-91.3870301,"40.55187566490634, -91.38734722945196",419,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/temple-stones-pavilion?lang=eng
